CBG10375.1	708,987	795,1032
CBG10379.1	11592,12835,13017	12261,12886,13067
CBG10380.1	13960,14224	14013,14271
CBG10381.1	15216,15542	15259,15583
CBG10382.1	18197,18444	18252,18490
CBG18509.1	40,603,825,1686,2099	104,646,868,1716,2142
CBG18512.1	4553,5439,5582,7158	5360,5482,5713,7312
CBG18514.1	11755,12349,12547,12723,13089,13232,13816,14107,14325,14776,15177,15287	12282,12396,12590,13016,13138,13678,13860,14149,14589,15011,15223,15336
CBG18517.1	21606,21785	21655,22288
CBG18518.1	24643,25626	24695,25673
CBG18519.1	26879,27098,27489,27832,29034	26923,27139,27532,28554,29370
CBG18520.1	31627,31759,31967,32129,32292,32505,32663,32824,32978,33143,33440,33557,33771,34152,34308,34476	31674,31807,32011,32175,32339,32560,32757,32869,33019,33187,33481,33613,33816,34198,34355,35825
CBG18521.1	35017	35069
CBG18524.1	36221,36617,36768,37017,37255,37483,37722,37941,38267,38384	36496,36662,36815,37062,37296,37532,37766,37986,38312,38427
CBG18525a.1	45420,45557,45767,45930,46158,46339,46580,46874,47214,47331,47758,47917,48277	45460,45601,45812,45984,46209,46396,46627,46919,47259,47375,47807,48153,48483
CBG18525b.1	45420,45557,45767,45930,46158,46339,46580,46874,47214,47331,47758,47917,48277	45472,45601,45812,45984,46209,46396,46627,46919,47259,47375,47807,48153,48483
CBG18528.1	52436,52587,52696,52935,53393,53634,55129,55354,55897,56400,56597	52481,52626,52739,52987,53438,54936,55173,55409,55941,56446,56645
CBG18529.1	57482,57851,58028,58480,58648	57529,57896,58072,58525,58693
CBG18531.1	63339,63705,63882,64334,64502	63386,63750,63926,64379,64549
CBG18532.1	64936,65294,65519,65681,65861,66315,66484	64981,65341,65565,65744,66150,66370,66531
CBG18533.1	68568,68931,69110,69562	68612,68978,69154,69637
CBG18534.1	70044,70232,70624,70850,71009,71171,71556	70087,70458,70672,70893,71054,71313,71744
CBG18535.1	72415,72606,72815	72464,72649,72858
CBG18537.1	82730,82904,84556	82781,83772,84600
CBG26921a.1	9143,9488,9731,9880,10046,10258,10569,10987,11160	9188,9565,9795,9922,10092,10301,10821,11029,11207
CBG26921b.1	8707,9143,9488,9731,9880,10046,10258,10569,10987,11160	9072,9188,9565,9795,9922,10092,10301,10821,11029,11207
CBG26923.1	49212,50082,50250	49984,50126,50297
CBG26924a.1	50835,50955,51229,51374,51615	50876,51000,51279,51417,51662
CBG26924b.1	50835,50955,51229,51367	50876,51000,51279,51417
CBG26926.1	76810,77134,77329	76857,77178,77377
CBG26927.1	78441,78950,79087	78481,78995,79183
CBG31318.1	40807,40939,41147,41308,41461,41669,42062,42382,42859	40854,40987,41190,41354,41510,41884,42106,42425,42903
CBG31319.1	43295,43431,43802,43973,44472,44742,44929	43334,43474,43856,44015,44516,44786,44970
CBG31320.1	19096,19412,19856	19324,19687,19878
CBG22562.1	7482,7727,8619,9191,10063	7524,8457,8920,9929,10121
CBG22563.1	12514	12559
CBG22564.1	14538,15440,15631,15985,17084	14884,15490,15676,16682,17131
CBG22564.2	15440,15631,15985,17084	15490,15676,16682,17131
CBG22565.1	20897,21370	20943,21371
CBG29762.1	11326	11481
CBG23548.1	417,848,1066,1249,1437,1935,2191,2384,2761	461,905,1110,1298,1477,1981,2241,2429,2829
CBG23549.1	4517,6028,6257,6423,6599,6767,7103,7858,8172	5040,6073,6305,6472,6652,6934,7626,7908,8219
CBG23550.1	3733,3850	3801,4078
CBG23553a.1	1150,2054	1671,3247
CBG23553b.1	1026,1150,2054	1043,1671,2498
CBG23554.1	373,1068,1214,1355	835,1110,1265,2653
CBG23555.1	4362,4505,4937,5127,5426,5822	4405,4774,4988,5175,5488,6319
CBG23558.1	667,891	739,936
CBG23559.1	2404	2458
